MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
STRANGE MAGIC,5.5,3,14,14,13,15,14,55,57,55,52,55,33,35,31,32,33,3,3,2,4,3,9,9,5,10,9,NA,NA,NA,NA,NA,2015,49238,FAMILY,ANIMATED,DISNEY,PG,1/23/2015 0:00,1,3,1,5504441,6458120,3020,1823,7,NA,NA,12427046,NA
SUBURBICON,2.8,3,8,5,9,3,10,54,48,60,38,57,35,40,33,31,36,4,3,4,3,6,12,9,10,5,19,1,1,2,0,2,2017,69851,HUMN INTST CMDY,CRIME THEME,PARAMOUNT,R,10/27/2017 1:00,10,3,1,2840246,3896570,2046,1388,9,NA,NA,5733506,NA
SUICIDE SQUAD,133.7,3,47,46,47,55,39,90,89,92,92,86,65,73,64,68,56,29,31,28,36,20,40,45,43,45,26,27,31,26,34,17,2016,49172,ACTION ADVENTURE,SUPERHERO,WARNER BROS.,PG-13,8/5/2016 1:00,8,3,1,133682248,179104728,4255,31418,1,NA,NA,325021779,NA
SULLY,35,3,24,19,26,21,30,82,82,85,76,85,47,43,52,36,54,16,13,20,10,22,30,26,38,23,35,9,6,11,5,13,2016,64830,HUMN INTST DRMA,REAL EVENTS,WARNER BROS.,PG-13,9/9/2016 1:00,9,3,1,35028301,48541351,3525,9937,1,NA,NA,125065700,NA
SWISS ARMY MAN,1.7,4,3,3,2,4,3,33,35,37,28,32,25,30,24,26,19,1,1,2,2,0,3,3,3,3,1,0,0,0,0,0,2016,66355,HUMN INTST CMDY,BLACK COMEDY,A24 FILMS,R,7/1/2016 1:00,7,4,2,1673746,2284913,636,2632,11,FOURTH OF JULY,1487,4208879,NA
TAKEN 3,39.2,3,26,29,25,23,27,92,89,96,91,92,52,55,57,45,51,15,16,19,11,13,28,27,35,20,28,NA,NA,NA,NA,NA,2015,47849,SUSPNS/THRILLER,KIDNAPPING/HOSTAGE,20TH CENTURY FOX,PG-13,1/9/2015 0:00,1,3,1,39201657,48786917,3594,10908,1,NA,NA,89253340,NA
TAMMY,21.6,3,29,27,20,34,36,77,71,75,78,82,42,37,30,49,51,12,8,7,15,18,17,12,16,18,21,NA,NA,NA,NA,NA,2014,44881,HUMN INTST CMDY,ABOUT FAMILY,WARNER BROS.,R,7/2/2014 1:00,7,3,1,21577049,44443601,3465,6227,2,FOURTH OF JULY,NA,84518155,NA
TED 2,33.5,3,30,29,29,31,29,96,95,96,99,93,50,61,53,43,39,14,20,16,10,9,26,38,29,20,17,10,12,10,7,7,2015,46227,ZANY COMEDY,FANTASY,UNIVERSAL,R,6/26/2015 1:00,6,3,1,33507870,47329110,3442,9735,3,NA,NA,81257500,NA
TEENAGE MUTANT NINJA TURTLES (2014),65.6,3,41,39,41,39,44,97,99,97,96,97,42,49,46,38,36,10,14,12,7,6,22,25,29,18,18,NA,NA,NA,NA,NA,2014,42105,FAMILY,LIVE ACTION,PARAMOUNT,PG-13,8/8/2014 1:00,8,3,1,65575105,89242236,3845,17055,1,NA,NA,191163715,NA
TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,35.3,3,27,27,25,26,29,90,93,90,90,87,35,42,39,30,29,6,5,6,6,7,15,19,14,11,16,4,5,3,4,4,2016,49225,FAMILY,LIVE ACTION,PARAMOUNT,PG-13,6/3/2016 1:00,6,3,1,35316382,46239783,4071,8675,1,NA,NA,82046536,NA
TERMINATOR: GENISYS,27,3,28,29,33,22,26,85,91,91,72,84,50,54,65,34,44,15,19,21,9,10,22,28,37,11,16,10,11,14,5,7,2015,45565,ACTION DRAMA,SCIENCE FICTION,PARAMOUNT,PG-13,7/1/2015 1:00,7,3,1,27018486,55017741,3758,7190,3,FOURTH OF JULY,NA,89732034,NA
TEXAS CHAINSAW 3D,21.7,3,19,19,16,20,18,74,80,77,69,68,27,35,21,31,20,5,5,3,6,4,12,19,8,13,8,NA,NA,NA,NA,NA,2013,40315,HORROR,KILLER/MURDER,LIONS GATE FILMS,R,1/4/2013 0:00,1,3,1,21744470,25601740,2654,8193,1,NA,NA,34334256,NA
THANK YOU FOR YOUR SERVICE (2017),3.8,3,7,5,5,7,8,50,49,50,42,55,32,35,33,33,29,3,2,2,3,4,12,8,11,12,16,1,1,1,2,1,2017,68807,HUMN INTST DRMA,AFFLICTION/HANDICAP,UNIVERSAL,R,10/27/2017 1:00,10,3,1,3817700,5094730,2054,1859,6,NA,NA,9437885,NA
THAT AWKWARD MOMENT,8.7,3,15,12,11,19,16,64,64,51,79,65,33,31,22,43,32,6,5,1,12,5,12,10,6,20,12,NA,NA,NA,NA,NA,2014,45434,ROMANTIC COMEDY,BUDDY,FOCUS FEATURES,R,1/31/2014 0:00,1,3,1,8742109,11308035,2809,3112,3,SUPERBOWL,NA,26049082,NA
"33, THE",5.8,3,13,14,11,14,13,59,61,63,49,65,33,36,38,27,29,5,4,6,7,4,15,16,17,15,12,1,1,2,2,2,2015,62112,HUMN INTST DRMA,DISASTER,WARNER BROS.,PG-13,11/13/2015 0:00,11,3,1,5787266,7660692,2452,2360,5,NA,NA,12223895,NA
"5TH WAVE, THE",10.3,3,14,14,12,18,12,58,56,58,65,51,38,37,37,43,38,5,5,2,8,3,12,11,8,18,9,5,2,4,7,4,2016,48899,ACTION ADVENTURE,SCIENCE FICTION,SONY PICTURES,PG-13,1/22/2016 0:00,1,3,1,10326356,13188149,2908,3551,6,NA,NA,34912982,NA
"AGE OF ADALINE, THE",13.2,3,21,16,16,27,25,66,50,62,74,78,36,27,27,43,40,8,3,2,10,13,15,7,8,25,24,3,1,1,4,6,2015,49230,ROMANTIC DRAMA,FANTASY,LIONS GATE FILMS,PG-13,4/24/2015 1:00,4,3,1,13203458,17174118,2991,4414,3,NA,NA,42588722,NA
"AMAZING SPIDER-MAN 2, THE",91.6,3,42,46,46,36,39,99,100,100,98,97,59,68,66,54,48,20,26,24,17,12,40,49,50,35,27,NA,NA,NA,NA,NA,2014,40564,ACTION ADVENTURE,CRIME THEME,COLUMBIA PICTURES,PG-13,5/2/2014 1:00,5,3,1,91608337,110700722,4324,21186,1,NA,NA,202853933,NA
"ANGRY BIRDS MOVIE, THE",38.2,3,29,25,25,31,34,90,88,89,93,90,34,38,30,34,35,7,7,3,8,9,17,20,13,17,20,7,6,3,7,10,2016,45173,FAMILY,ANIMATED,SONY PICTURES,PG,5/20/2016 1:00,5,3,1,38155177,47653309,3932,9704,1,NA,NA,107506776,NA
"BELKO EXPERIMENT, THE",4.1,3,6,6,7,7,5,44,50,48,38,38,34,37,33,34,29,3,3,3,3,2,7,7,8,7,5,0,0,0,0,0,2017,64910,HORROR,PSYCHOLOGICAL,OTL RELEASING,R,3/17/2017 1:00,3,3,1,4137230,5770565,1341,3085,7,NA,NA,10164675,NA
"BEST MAN HOLIDAY, THE",30.1,3,22,19,20,22,25,54,45,54,53,65,32,31,26,33,35,7,6,6,7,11,10,6,8,10,14,NA,NA,NA,NA,NA,2013,43766,ROMANTIC COMEDY,AF.AM.,UNIVERSAL,R,11/15/2013 0:00,11,3,1,30107555,37869590,2024,14875,2,NA,NA,70492685,NA
"BEST OF ME, THE",10,3,17,12,13,24,19,59,46,50,66,70,29,19,21,39,31,4,2,2,9,6,6,2,3,11,8,NA,NA,NA,NA,NA,2014,46443,ROMANTIC DRAMA,NA,RELATIVITY MEDIA,PG-13,10/17/2014 1:00,10,3,1,10003827,12926674,2936,3407,5,NA,NA,26761283,NA
"BFG, THE",22.7,4,24,24,20,26,29,76,79,73,74,79,38,32,35,43,43,4,5,3,4,5,10,10,8,12,11,4,4,2,4,5,2016,48697,FAMILY,LIVE ACTION,DISNEY,PG,7/1/2016 1:00,7,4,1,22716809,31134762,3357,6767,4,FOURTH OF JULY,NA,55472665,NA
"BIG SHORT, THE",10.5,3,10,9,11,9,10,57,56,65,46,61,29,27,33,27,29,3,3,2,2,5,4,5,4,2,4,1,1,1,1,1,2015,63816,HUMN INTST DRMA,CRIME THEME,PARAMOUNT,R,12/25/2015 0:00,12,3,3,10531026,18503730,1585,6644,6,CHRISTMAS,2684,70235322,NA
"BIG SICK, THE",7.5,3,5,2,5,7,6,41,38,42,39,42,28,28,25,25,34,2,1,0,2,4,3,1,1,2,8,0,0,0,1,0,2017,69412,ROMANTIC COMEDY,RELATIONSHIP,LIONS GATE FILMS,R,7/14/2017 1:00,7,3,4,7529590,11102554,2597,2899,5,NA,111,42861332,NA
"BIG WEDDING, THE",7.6,3,15,14,14,14,19,60,47,56,63,74,28,18,20,33,38,7,0,1,10,15,14,5,6,19,28,NA,NA,NA,NA,NA,2013,40384,ROMANTIC COMEDY,WEDDING/MARRIAGE,LIONS GATE FILMS,R,4/26/2013 1:00,4,3,1,7591663,10334565,2633,2883,4,NA,NA,21784432,NA
"BOOK OF LIFE, THE",17,3,23,20,22,24,26,73,63,71,76,81,38,36,32,41,43,5,4,4,8,4,11,10,6,16,10,NA,NA,NA,NA,NA,2014,44061,FAMILY,ANIMATED,20TH CENTURY FOX,PG,10/17/2014 1:00,10,3,1,17005218,20113449,3071,5537,3,NA,NA,50150619,NA
"BOSS BABY, THE",50.2,3,32,29,25,39,34,87,84,81,91,90,43,40,37,44,49,9,9,7,12,10,14,14,12,17,16,7,6,6,7,9,2017,48656,FAMILY,ANIMATED,20TH CENTURY FOX,PG,3/31/2017 1:00,3,3,1,50198902,63073318,3773,13305,1,NA,NA,175001129,NA
"BOXTROLLS, THE",17.3,3,25,26,19,29,28,77,82,75,76,77,38,37,35,40,42,7,6,6,7,8,19,21,14,19,20,NA,NA,NA,NA,NA,2014,43843,FAMILY,ANIMATED,FOCUS FEATURES,PG,9/26/2014 1:00,9,3,1,17275239,20114208,3464,4987,3,NA,NA,50833518,NA
"BOY (2016), THE",10.8,3,18,14,15,25,17,58,56,57,63,57,35,34,30,41,32,5,4,4,8,5,8,5,6,13,7,4,3,1,6,3,2016,62812,HORROR,SUPERNATURAL,STX ENTERTAINMENT,PG-13,1/22/2016 0:00,1,3,1,10778392,13633916,2671,4035,5,NA,NA,35794166,NA
"BOY NEXT DOOR, THE",14.9,3,18,17,16,19,20,85,81,82,90,88,36,32,29,44,39,7,7,6,8,8,14,13,8,20,15,NA,NA,NA,NA,NA,2015,46740,SUSPNS/THRILLER,PSYCHOLOGICAL,UNIVERSAL,R,1/23/2015 0:00,1,3,1,14910105,18591335,2602,5730,2,NA,NA,35385560,NA
"BROTHERS GRIMSBY, THE",3.3,3,9,10,9,10,9,62,65,65,57,60,22,26,25,19,16,3,4,2,2,2,6,8,6,6,3,1,1,1,0,1,2016,47509,ACTION COMEDY,ESPIONAGE,COLUMBIA/TRISTAR,R,3/11/2016 0:00,3,3,1,3258327,4512670,2235,1458,8,NA,NA,6864016,NA
"BYE BYE MAN, THE",15.2,4,16,16,12,21,16,57,62,55,65,48,33,38,27,32,34,4,5,2,5,3,8,13,5,10,8,2,2,1,2,2,2017,65963,HORROR,SUPERNATURAL,STX ENTERTAINMENT,PG-13,1/13/2017 0:00,1,4,1,15204094,16559630,2220,6849,5,MARTIN LUTHER KING,NA,22377458,NA
"CALL, THE",17.1,3,17,14,15,20,18,68,60,72,72,72,37,30,33,43,39,8,3,6,12,10,20,15,16,29,21,NA,NA,NA,NA,NA,2013,42182,SUSPNS/THRILLER,KIDNAPPING/HOSTAGE,SONY PICTURES,R,3/15/2013 1:00,3,3,1,17118745,22204121,2507,6828,2,NA,NA,51872378,NA
"CASE FOR CHRIST, THE",4,3,2,3,3,2,2,35,38,43,28,33,29,29,30,26,32,2,2,3,2,2,3,2,5,2,3,0,0,0,0,0,2017,67440,HUMN INTST DRMA,SPIRITUALITY,PURE FLIX ENTERTAINMENT,PG,4/7/2017 1:00,4,3,1,3967885,5727704,1174,3380,10,NA,NA,14678714,NA
"CHOICE (2016), THE",6.1,3,9,8,7,11,10,46,40,40,53,53,28,26,27,29,28,3,2,1,3,4,6,3,4,6,9,1,0,0,1,1,2016,62085,ROMANTIC DRAMA,NA,LIONS GATE FILMS,PG-13,2/5/2016 0:00,2,3,1,6050443,8009551,2631,2300,5,SUPERBOWL,NA,18709066,NA
"CIRCLE (2017), THE",9,3,18,17,15,21,21,70,64,70,71,72,36,33,33,34,42,8,5,5,8,11,24,16,22,31,28,4,5,3,6,5,2017,63637,SUSPNS/THRILLER,SCIENCE FICTION,STX ENTERTAINMENT,PG-13,4/28/2017 1:00,4,3,1,9034148,11695113,3163,2856,5,NA,NA,20476301,NA
"CONJURING, THE",41.9,3,20,22,16,22,19,63,65,64,62,61,35,36,31,38,33,7,9,4,9,6,11,11,10,15,8,NA,NA,NA,NA,NA,2013,41714,HORROR,SUPERNATURAL,WARNER BROS.,R,7/19/2013 1:00,7,3,1,41855326,61736628,2903,14418,1,NA,NA,137387272,NA
"CONJURING 2, THE",40.4,3,23,23,19,28,23,81,83,76,86,78,36,41,34,37,34,8,10,7,9,8,15,14,13,16,16,4,4,3,6,3,2016,47628,HORROR,SUPERNATURAL,WARNER BROS.,R,6/10/2016 1:00,6,3,1,40406314,56175086,3343,12087,1,NA,NA,102461593,NA
"COUNSELOR, THE",7.8,3,14,12,16,12,15,70,62,73,65,77,35,29,36,33,39,6,6,7,3,11,12,8,14,8,15,NA,NA,NA,NA,NA,2013,43036,SUSPNS/THRILLER,CRIME THEME,20TH CENTURY FOX,R,10/25/2013 1:00,10,3,1,7842930,10387509,3044,2577,4,NA,NA,16969390,NA
"CROODS, THE",43.6,3,27,25,23,29,33,75,73,72,77,79,40,38,34,44,47,8,6,7,11,10,16,13,11,21,22,NA,NA,NA,NA,NA,2013,35664,FAMILY,ANIMATED,20TH CENTURY FOX,PG,3/22/2013 1:00,3,3,1,43639736,62182077,4046,10786,1,NA,NA,187165546,NA
"DARK TOWER, THE",19.2,3,27,29,27,20,28,76,75,83,63,75,45,49,48,37,42,12,10,14,5,13,17,18,19,10,18,8,9,10,3,9,2017,47465,ACTION ADVENTURE,FANTASY,SONY PICTURES,PG-13,8/4/2017 1:00,8,3,1,19153698,26430764,3451,5550,1,NA,NA,50692621,NA
"DARKNESS (2016), THE",5,3,8,9,8,7,7,47,46,55,38,49,35,32,38,35,33,3,2,4,3,2,9,8,10,8,8,0,0,0,0,0,2016,65334,HORROR,SUPERNATURAL,HIGH TOP RELEASING,PG-13,5/13/2016 1:00,5,3,1,4950859,6097482,1755,2821,4,NA,NA,10732841,NA
"DISAPPOINTMENTS ROOM, THE",1.4,3,3,4,3,4,3,47,52,42,46,47,34,39,32,36,30,2,3,2,3,1,8,10,5,9,7,0,0,0,0,0,2016,49531,SUSPNS/THRILLER,PSYCHOLOGICAL,RELATIVITY MEDIA,R,9/9/2016 1:00,9,3,1,1402823,1840775,1554,903,17,NA,NA,2414077,NA
"DISASTER ARTIST, THE",6.4,3,4,5,4,2,6,43,41,47,40,41,31,39,31,34,26,3,2,3,3,2,10,9,13,5,9,1,1,1,1,2,2017,65981,HUMN INTST CMDY,ENTERTAINMENT SETTING,A24 FILMS,R,12/8/2017 0:00,12,3,2,6366243,8698357,840,7579,4,NA,426,20910950,NA
"DIVERGENT SERIES: ALLEGIANT, THE",29,3,21,16,16,28,25,83,80,76,89,87,51,51,46,59,48,12,8,8,20,12,22,17,16,31,23,5,3,4,9,6,2016,46900,ACTION DRAMA,SCIENCE FICTION,LIONS GATE FILMS,PG-13,3/18/2016 1:00,3,3,1,29027348,37105496,3740,7761,2,NA,NA,66157930,NA
"DIVERGENT SERIES: INSURGENT, THE",52.3,3,30,24,27,39,31,86,84,84,93,83,58,57,52,64,57,16,13,12,26,14,30,28,28,40,26,NA,NA,NA,NA,NA,2015,45122,ACTION DRAMA,SCIENCE FICTION,LIONS GATE FILMS,PG-13,3/20/2015 1:00,3,3,1,52263680,64318823,3875,13487,1,NA,NA,130127858,NA
"DUFF, THE",10.8,3,14,11,10,21,13,63,55,57,76,61,33,28,26,46,28,5,3,3,14,3,10,4,6,22,9,NA,NA,NA,NA,NA,2015,48903,HUMN INTST CMDY,ACADEMIC SETTING,LIONS GATE FILMS,PG-13,2/20/2015 0:00,2,3,1,10809149,12902975,2575,4198,5,NA,NA,34017854,NA
"EDGE OF SEVENTEEN, THE",4.8,3,12,10,9,17,12,61,60,55,65,65,33,34,29,41,26,3,4,1,5,2,6,7,3,12,4,0,0,0,2,0,2016,65962,HUMN INTST CMDY,COMING-OF-AGE,STX ENTERTAINMENT,R,11/18/2016 0:00,11,3,1,4754215,7307032,1945,2444,7,NA,NA,14415890,NA
"EMOJI MOVIE, THE",24.5,3,33,34,26,40,37,89,90,86,95,89,31,30,31,32,32,7,7,7,9,6,11,10,10,14,11,10,9,9,12,11,2017,66036,FAMILY,ANIMATED,SONY PICTURES,PG,7/28/2017 1:00,7,3,1,24531923,37101704,4075,6020,2,NA,NA,86087381,NA
"EQUALIZER, THE",34.1,3,21,24,23,19,19,81,83,91,70,81,53,55,64,38,53,15,18,20,10,12,27,27,37,16,26,NA,NA,NA,NA,NA,2014,43212,ACTION DRAMA,CRIME THEME,SONY PICTURES,R,9/26/2014 1:00,9,3,1,34137828,45486617,3236,10549,1,NA,NA,100966795,NA
"EXPENDABLES 3, THE",15.9,3,21,20,23,18,22,91,92,93,86,93,42,53,48,34,37,11,14,14,6,10,16,19,21,7,17,NA,NA,NA,NA,NA,2014,45330,ACTION ADVENTURE,MILITARY THEME,LIONS GATE FILMS,PG-13,8/15/2014 1:00,8,3,1,15879645,20918177,3221,4930,4,NA,NA,39292022,NA
"FAMILY (2013), THE",14,3,19,20,21,17,20,73,72,80,62,77,43,44,46,36,45,15,15,17,10,15,22,24,24,18,25,NA,NA,NA,NA,NA,2013,43650,ACTION COMEDY,CRIME THEME,RELATIVITY MEDIA,R,9/13/2013 1:00,9,3,1,14034764,18640522,3091,4541,2,NA,NA,36917730,NA
"FATE OF THE FURIOUS, THE",98.8,3,38,40,37,36,38,96,95,97,96,96,55,66,56,56,48,27,36,30,20,21,43,53,51,35,32,18,20,21,18,13,2017,63446,ACTION ADVENTURE,CRIME THEME,UNIVERSAL,PG-13,4/14/2017 1:00,4,3,1,98786705,124896220,4310,22920,1,EASTER,NA,225697400,NA
"FAULT IN OUR STARS, THE",48,3,25,19,13,41,28,67,65,52,87,67,44,27,32,64,46,10,2,3,25,9,16,6,7,38,13,NA,NA,NA,NA,NA,2014,46273,ROMANTIC DRAMA,AFFLICTION/HANDICAP,20TH CENTURY FOX,PG-13,6/6/2014 1:00,6,3,1,48002523,65975267,3173,15128,1,NA,NA,124868837,NA
"FIFTH ESTATE, THE",1.7,3,9,10,9,7,9,49,55,55,40,46,25,26,25,23,29,1,2,1,0,2,5,6,5,4,5,NA,NA,NA,NA,NA,2013,44250,HUMN INTST DRMA,BIOGRAPHICAL,DISNEY,R,10/18/2013 1:00,10,3,1,1673351,2277466,1769,946,8,NA,NA,3254172,NA
"FINEST HOURS, THE",10.3,3,7,8,10,5,7,54,53,62,41,60,30,34,29,28,29,3,4,4,3,3,5,5,7,3,5,1,1,1,0,1,2016,49863,ACTION DRAMA,REAL EVENTS,DISNEY,PG-13,1/29/2016 0:00,1,3,1,10288932,13665660,3143,3274,4,NA,NA,27550735,NA
"FOREIGNER, THE",13.1,3,10,8,12,7,11,70,68,76,60,68,39,42,44,32,33,5,5,5,2,6,14,12,19,6,11,2,1,3,1,2,2017,64775,ACTION DRAMA,REVENGE,STX ENTERTAINMENT,R,10/13/2017 1:00,10,3,1,13113024,17394253,2515,5214,3,NA,NA,34372232,NA
"FOREST (2016-I), THE",12.7,3,17,16,14,19,18,61,57,61,67,60,37,40,36,38,35,5,5,6,5,5,10,9,8,12,10,3,4,1,4,3,2016,48478,HORROR,SUPERNATURAL,FOCUS FEATURES,PG-13,1/8/2016 0:00,1,3,1,12741176,15333634,2451,5198,4,NA,NA,26583369,NA
"FOUNDER, THE",3.4,3,5,4,5,4,5,45,46,54,35,45,32,33,37,27,29,2,2,1,2,1,4,3,5,5,4,0,0,0,0,0,2017,62929,HUMN INTST DRMA,BIOGRAPHICAL,THE WEINSTEIN COMPANY,PG-13,1/19/2017 0:00,1,3,1,3404102,4827067,1115,3053,11,NA,NA,12785093,NA
"GALLOWS, THE",9.8,3,16,15,14,21,14,57,59,61,58,51,29,26,31,32,24,4,4,3,8,3,7,7,7,11,5,2,2,1,3,1,2015,49772,HORROR,FAKE DOCUMENTARY/REA,WARNER BROS.,R,7/10/2015 1:00,7,3,1,9808463,14001591,2720,3606,5,NA,NA,22757819,NA
"GAMBLER (II), THE",9.1,3,12,12,12,9,13,72,75,80,60,72,32,36,37,26,28,5,7,9,2,4,7,8,11,3,5,NA,NA,NA,NA,NA,2014,48892,HUMN INTST DRMA,CRIME THEME,PARAMOUNT,R,12/25/2014 0:00,12,3,1,9127022,21269152,2478,3683,7,CHRISTMAS,NA,33675227,NA
"GIFT (2015), THE",11.9,3,13,14,10,14,14,60,53,59,61,67,32,27,27,31,39,4,2,3,5,6,6,4,4,6,9,1,0,0,1,1,2015,62815,SUSPNS/THRILLER,REVENGE,STX ENTERTAINMENT,R,8/7/2015 1:00,8,3,1,11854273,17077323,2503,4736,3,NA,NA,43771291,NA
"GIVER, THE",12.3,3,20,17,18,26,18,73,67,66,86,77,41,37,34,48,41,9,7,5,16,7,14,10,11,23,12,NA,NA,NA,NA,NA,2014,46178,HUMN INTST DRMA,SCIENCE FICTION,THE WEINSTEIN COMPANY,PG-13,8/15/2014 1:00,8,3,1,12305016,17370538,3003,4098,5,NA,NA,45089048,NA
"GLASS CASTLE, THE",4.7,3,14,6,11,18,20,57,57,55,53,61,27,27,22,33,31,3,0,1,6,6,5,2,2,8,9,2,0,2,4,4,2017,68950,HUMN INTST DRMA,ABOUT FAMILY,LIONS GATE FILMS,PG-13,8/11/2017 1:00,8,3,1,4678548,7156381,1461,3202,9,NA,NA,17238739,NA
"GOOD DINOSAUR, THE",39.2,3,25,20,18,31,32,83,82,78,84,86,44,38,37,48,54,8,7,5,10,12,14,12,11,15,19,5,4,4,4,9,2015,40590,FAMILY,ANIMATED,DISNEY,PG,11/25/2015 0:00,11,3,1,39155217,60439530,3749,10444,2,THANKSGIVING,NA,123070338,NA
"GRAND BUDAPEST HOTEL, THE",8.5,3,10,8,12,9,10,46,41,53,40,50,32,32,30,31,35,6,5,4,7,11,9,6,8,9,13,NA,NA,NA,NA,NA,2014,46358,HUMN INTST CMDY,PERIOD,FOX SEARCHLIGHT PICTURES,R,3/28/2014 1:00,3,3,4,8539795,11448612,977,8741,6,NA,26,59326349,NA
"GREAT GATSBY (2013), THE",50.1,3,29,23,25,34,32,90,83,95,89,94,45,36,39,51,52,16,12,12,22,22,35,27,30,39,43,NA,NA,NA,NA,NA,2013,40710,HUMN INTST DRMA,PERIOD,WARNER BROS.,PG-13,5/10/2013 1:00,5,3,1,50085184,66743604,3535,14168,2,NA,NA,144812796,NA
"GREAT WALL, THE",21.5,4,19,21,25,15,17,79,80,90,73,75,43,47,49,33,41,11,11,17,5,11,16,18,26,8,15,5,3,9,2,4,2017,62154,ACTION ADVENTURE,PERIOD,UNIVERSAL,PG-13,2/17/2017 0:00,2,4,1,21508490,25705640,3326,6467,3,PRESIDENT'S DAY,NA,45125480,NA
"GREATEST SHOWMAN, THE",14.4,4,18,12,17,22,21,74,68,74,74,78,34,30,29,40,40,5,2,4,8,7,7,3,6,11,9,3,0,3,7,3,2017,62253,HUMN INTST DRMA,BIOGRAPHICAL,20TH CENTURY FOX,PG,12/20/2017 0:00,12,4,1,14410116,48076370,3006,4794,4,CHRISTMAS,0,126525599,NA
"GREEN INFERNO, THE",3.5,3,6,7,5,6,7,43,46,52,41,35,30,38,33,22,27,1,4,1,0,2,3,4,4,0,2,1,1,0,0,1,2015,46068,HORROR,PSYCHOLOGICAL,HIGH TOP RELEASING,R,9/25/2015 1:00,9,3,1,3520626,4642423,1540,2286,9,NA,NA,7186670,NA
"GUNMAN, THE",5,3,14,14,17,10,14,62,66,78,45,58,39,41,46,25,36,5,6,8,1,5,12,12,20,5,10,NA,NA,NA,NA,NA,2015,47645,ACTION DRAMA,CRIME THEME,OPEN ROAD FILMS,R,3/20/2015 1:00,3,3,1,5028702,6764865,2816,1786,4,NA,NA,10640645,NA
"HANGOVER PART III, THE",50.3,4,34,35,32,35,35,94,95,95,93,95,50,57,48,49,48,16,17,15,15,14,23,25,24,22,19,NA,NA,NA,NA,NA,2013,42185,ZANY COMEDY,BUDDY,WARNER BROS.,R,5/23/2013 1:00,5,4,1,50262366,72155654,3555,14138,2,MEMORIAL DAY,NA,112186625,NA
"HATEFUL EIGHT, THE",15.7,3,16,17,22,12,16,69,69,78,57,70,44,50,53,32,39,7,8,12,2,6,10,12,17,3,9,3,3,5,1,3,2016,49120,ACTION DRAMA,WESTERN,THE WEINSTEIN COMPANY,R,1/1/2016 0:00,1,3,2,15706645,21783610,2474,6349,3,NEW YEAR,241,54116191,NA
"HEAT, THE",39.1,3,21,16,19,24,23,74,60,73,77,86,41,26,35,50,47,10,2,4,15,14,17,6,14,26,21,NA,NA,NA,NA,NA,2013,42645,ACTION COMEDY,COP/DETECTIVE,20TH CENTURY FOX,R,6/28/2013 1:00,6,3,1,39115043,61495288,3181,12296,2,NA,NA,159578352,NA
"HITMAN'S BODYGUARD, THE",21.4,3,18,16,19,15,20,80,80,85,68,80,47,48,48,43,47,13,17,15,7,12,21,25,25,10,18,5,5,5,2,6,2017,68042,ACTION COMEDY,CRIME THEME,LIONS GATE FILMS,R,8/18/2017 1:00,8,3,1,21384504,29564004,3377,6332,1,NA,NA,75439537,NA
"HOBBIT: THE BATTLE OF THE FIVE ARMIES, THE",54.7,3,41,41,44,40,38,92,95,92,91,88,50,56,59,40,44,21,28,25,14,17,26,34,31,18,23,NA,NA,NA,NA,NA,2014,43264,ACTION ADVENTURE,FANTASY,WARNER BROS.,PG-13,12/17/2014 0:00,12,3,1,54724334,127101968,3875,14122,1,NA,NA,255108370,NA
"HOBBIT: THE DESOLATION OF SMAUG, THE",73.6,3,32,33,34,28,33,90,94,88,93,89,53,62,56,47,47,22,30,24,16,17,36,48,40,28,28,NA,NA,NA,NA,NA,2013,40006,ACTION ADVENTURE,FANTASY,WARNER BROS.,PG-13,12/13/2013 0:00,12,3,1,73645197,96045417,3903,18869,1,NA,NA,258355354,NA
"HOST (2013), THE",10.6,3,19,15,18,22,19,62,60,56,71,64,37,28,31,45,38,7,2,3,13,6,10,5,8,18,9,NA,NA,NA,NA,NA,2013,40313,ACTION DRAMA,SCIENCE FICTION,OPEN ROAD FILMS,PG-13,3/29/2013 1:00,3,3,1,10600112,14425713,3202,3310,6,EASTER,NA,26616999,NA
"HOUSE, THE",8.7,3,16,14,16,14,17,68,68,72,59,69,33,33,30,38,34,6,5,5,6,8,11,9,11,9,13,3,4,2,3,4,2017,64030,HUMN INTST CMDY,ABOUT FAMILY,WARNER BROS.,R,6/30/2017 1:00,6,3,1,8724795,13815678,3134,2784,6,FOURTH OF JULY,NA,25563273,NA
